какие цвета входят в радугу?,красный оранжевый желтый зеленый голубой синий фиолетовый,1
какие цвета входят в радугу?,Радуга образуется из-за того что солнечный свет преломляется и отражается капельками воды (дождя или тумана) парящими в атмосфере,0
что значат цифры на куриных яйцах?,Цифры на курином яйце обозначают категорию яйца в зависимости от его массы,1
что значат цифры на куриных яйцах?,Куриные яйца — распространённый пищевой продукт. Они содержат ценный белок а желток богат кальцием цинком витаминами и минералами,0
Какие три крупнейшие реки в мире по длине?,Амазонка Нил Миссисипи—Миссури,1
Какие три крупнейшие реки в мире по длине?,Определение длины реки — весьма непростая задача требующая знания мест где река начинается и кончается а также точного измерения длины реки между этими точками. Из-за этого длины многих рек могут быть определены только с некоторым приближением,0
Какое самое глубокое озеро в мире и какова его максимальная глубина?Озеро Байкал — самое глубокое озеро в мире.Его максимальная глубина составляет 1637 метров,1
Какое самое глубокое озеро в мире и какова его максимальная глубина?Число озёр в мире достигает 304 миллионов включая мелкие с площадью поверхности 0.1–10 гектаров. По данным исследования 2017 года средняя глубина озёр во всём мире составляет 42 метра,0
Что такое столица Франции,Париж,1
Какой океан самый большой,Атлантический океан,0
Где находится гора Эверест,На границе Непала и Тибета,1
Что такое культура,Это совокупность достижений общества,1
Кто написал роман Война и мир,Лев Толстой,1
Сколько планет в солнечной системе,Десять,0
Какой цвет имеет трава,Зеленый,1
Где растут палмовые деревья,В пустыне,0
Какое самое высокое здание в мире,Бурдж Халифа,1
Кто такой Илон Маск,Это кулинар,0
Что такое экосистема,Это система взаимодействий живых существ,1
Какой материк самый маленький,Австралия,1
Сколько часов в сутках,Тридцать два,0
Какой язык является официальным в Китае,Мандарин,0
Что такое биосфера,Это часть Земли,0
Какая планета известна как Красная планета,Марс,1
Когда произошла Великая Отечественная война,На 2023 год,0
Что такое столица Франции,Столицей Франции является Париж который известен своими историческими памятниками такими как Эйфелева башня и Лувер,0
Какой океан самый большой,Самым большим океаном на Земле является Тихий океан который занимает почти треть всей поверхности планеты,1
Где находится гора Эверест,Гора Эверест находится на границе между Непалом и Тибетом ее высота составляет 8848 метров и она является самой высокой точкой Земли,1
Что такое культура,Культура представляет собой совокупность знаний верований искусства и привычек которые передаются от одного поколения к другому и определяют образ жизни общества,1
Кто написал роман Война и мир,Роман Война и мир был написан известным русским писателем Львом Толстым и считается одним из величайших произведений мировой литературы,1
Сколько планет в солнечной системе,В солнечной системе насчитывается восемь основных планет однако иногда в счет включают и карликовую планету Плутон,1
Какой цвет имеет трава,Трава обычно имеет зеленый цвет что связано с наличием в ее клетках хлорофилла который помогает растениям осуществлять фотосинтез,1
Где растут палмовые деревья,Палмовые деревья обычно растут в тропических и субтропических климатах таких как Карибские острова и южные регионы США,1
Какое самое высокое здание в мире,На данный момент самым высоким зданием в мире является Бурдж Халифа в Дубае его высота составляет 828 метра и он стал символом современного архитектурного прогресса,1
Кто такой Илон Маск,Илон Маск это известный предприниматель и инженер который является основателем компаний таких как Tesla и SpaceX он активно работает над развитием технологий устойчивой энергетики,1
Что такое экосистема,Экосистема представляет собой систему взаимодействия живых организмов и их окружения в рамках определенной природной среды включая растения животных и микроорганизмы,1
Какой материк самый маленький,Самым маленьким материком считается Австралия ее площадь составляет примерно 7 7 миллиона квадратных километров это единственный материк который полностью расположен в южном полушарии,1
Сколько часов в сутках,В сутках 24 часа этот промежуток времени определяет вращение Земли вокруг своей оси и является основой для измерения времени,1
Какой язык является официальным в Китае,Официальным языком в Китае является мандарин который является одним из самых распространенных языков мира и на котором говорит более миллиарда людей,1
Что такое биосфера,Биосфера это область земной поверхности включая атмосферу океаны и почву где существует жизнь и взаимодействие всех живых организмов,1
Какая планета известна как Красная планета,Марс известен как Красная планета из-за своего характерного красного цвета который придают ему оксиды железа на поверхности,1
Когда произошла Великая Отечественная война,Великая Отечественная война началась 22 июня 1941 года и закончилась 9 мая 1945 года она была частью Второй мировой войны и сыграла ключевую роль в истории России,1
Что такое гравитация,Гравитация это фундаментальная сила которая притягивает объекты друг к другу. Она отвечает за то что мы остаемся на земле и не улетаем в космос а также за орбитальное движение планет вокруг звезд.,1
Какие океаны омывают берега России,Берега России омывают несколько океанов в том числе Северный Ледовитый океан на севере и Тихий океан на востоке. Также через Беренгово море Россия граничит с Тихим океаном.,1
Кто такой Пушкин,Александр Сергеевич Пушкин это один из величайших русских поэтов и писателей. Его творения такие как Евгений Онегин и Руслан и Людмила оказали значительное влияние на русскую литературу и культуру.,1
Что такое Япония,Япония это островное государство расположенное в Восточной Азии. Она известна своей уникальной культурой высокими технологиями традициями и природными красотами такими как горы Фудзи и сакуры.,1
Какая самая глубокая точка океана,Самой глубокой точкой океана является Марианская впадина расположенная в западной части Тихого океана. Ее максимальная глубина составляет около 10994 метров и это одна из самых неизученных частей нашей планеты.,1
Когда был основан Санкт-Петербург,Санкт-Петербург был основан 27 мая 1703 года Петром Великим. Город стал важным культурным и экономическим центром России и был столицей страны на протяжении более двухсот лет.,1
Какой металл обладает высокой проводимостью,Медь является металлом с высокой проводимостью электрического тока. Она широко используется в электрических проводах и устройствах благодаря своей способности эффективно проводить электричество.,1
Что такое вселенная,Вселенная это всеобъемлющее пространство включающее в себя все существующие материальные объекты энергии планеты и галактики. Она содержит множество загадок и загадок которые человечество продолжает изучать.,1
Какую роль играет экология,Экология изучает взаимодействия между организмами и их окружением. Она играет ключевую роль в понимании природных систем сохранении биоразнообразия и решении экологических проблем связанных с загрязнением и изменением климата.,1
Что такое искусственный интеллект,Искусственный интеллект (ИИ) — это область компьютерных наук ориентированная на создание систем способных выполнять задачи обычно требующие человеческого интеллекта такие как обучение понимание языка и принятие решений.,1
Какое животное является символом Австралии,Символом Австралии является кенгуру. Это уникальное животное известно своей способностью прыгать на большие расстояния и является символом национальной идентичности Австралии.,1
Когда произошла Французская революция,Французская революция началась в 1789 году и привела к значительным изменениям во французском обществе и политике включая падение монархии и возникновение республиканского строя.,1
Кто такие динозавры,Динозавры это группа больших рептилий существовавших на Земле в течение мезозойской эры примерно от 230 до 65 миллионов лет назад. Они были разнообразными по размерам и образу жизни и стали исчезнувшими облегчив им конкуренцию с млекопитающими.,1
Какой язык является самым распространенным в мире,Самым распространенным языком в мире является английский на котором говорит более 1.5 миллиарда людей. Он служит международным языком общения торговли и науки во многих странах.,1
Что такое экосистема?,Экосистема это сообщество организмов и их среды обитания.,1
Какой континент является самым большим?,Азия — самый большой континент.,1
Сколько планет в солнечной системе?,В солнечной системе восемь планет.,1
Кто написал Войну и мир?,Войну и мир написал Лев Толстой.,1
Что такое фотосинтез?,Фотосинтез — процесс при котором растения преобразуют солнечный свет в энергию.,1
Какое самое распространенное дерево в мире?,Самым распространенным деревом является ель.,0
Когда закончилась Вторая мировая война?,Вторая мировая война закончилась в 1945 году.,1
Кто открыл Америку?,Америку открыл Христофор Колумб в 1492 году.,1
Какой газ необходим для дыхания?,Кислород необходим для дыхания.,1
Что такое энергия?,Энергия — это способность выполнять работу.,1
Какой химический элемент обозначается символом H?,Символом H обозначается водород.,1
Кто был первым человеком на Луне?,Первым человеком на Луне был Нил Армстронг.,1
Что такое демократия?,Демократия — это форма правления при которой власть принадлежит народу.,1
Какой океан самый большой?,Тихий океан — самый большой океан на Земле.,1
Что такое глобализация?,Глобализация — процесс интеграции стран и народов.,1
Что такое климат?,Климат — это долгосрочные погодные условия в регионе.,1
Сколько голов у кошки?,У кошки одна голова.,1
Кто написал Гарри Поттера?,Дж.K. Роулинг написала Гарри Поттера.,1
Какой цвет у неба в ясный день?,В ясный день небо синее.,1
Что такое искусственный интеллект?,Искусственный интеллект — это симуляция человеческого интеллекта машинами.,1
Какой самый быстрый сухопутный животное?,Самым быстрым сухопутным животным является гепард.,1
Сколько часов в сутках?,В сутках 24 часа.,1
Что такое площадь?,Площадь — это размер поверхности фигуры.,1
Какой элемент имеет атомный номер 1?,Водород имеет атомный номер 1,1
Кто был первым президентом США?,Первые президентом США был Джордж Вашингтон.,1
